[ 1 , AXN ]
[ 2 , Zee Business ]
[ 3 , Cartoon Network ]
[ 4 , Zee Cinema ]
[ 6 , Etv Oriya ]
[ 7 , FTV ]
[ 8 , HBO ]
[ 9 , MTV ]
[ 20 , Zoom ]
[ 23 , Star World ]
[ 29 , Star Plus ]
[ 30 , Star Utsav ]
[ 32 , ZEE TV ]
[ 44 , Etv Rajasthan ]
[ 45 , Animal Planet ]
[ 46 , Discovery Channel ]
[ 49 , Neo Sports ]
[ 50 , CNN-IBN ]
[ 51 , SET MAX ]
[ 53 , Sony PIX ]
[ 57 , Animax ]
[ 58 , POGO ]
[ 59 , Star Movies ]
[ 61 , TLC ]
[ 63 , Zee Studio ]
[ 64 , Star Gold ]
[ 65 , Zee Cafe ]
[ 66 , Colors ]
[ 71 , National Geographic Channel ]
[ 73 , UTV Action ]
[ 74 , World Movies ]
[ 75 , Bindass Tv ]
[ 76 , UTV Movies ]
[ 77 , SAB TV ]
[ 78 , Sony Entertainment TV ]
[ 79 , Nickelodeon ]
[ 80 , Vh1 ]
[ 81 , Channel [V] ]
[ 82 , FILMY ]
[ 83 , Fox Traveller ]
[ 84 , 9X ]
[ 85 , BBC World News ]
[ 86 , CNN ]
[ 87 , B4U Music ]
[ 88 , B4U Movies ]
[ 89 , Sahara One ]
[ 90 , Zee Action ]
[ 91 , Zee Premier ]
[ 92 , Zee Classic ]
[ 93 , Disney Channel ]
[ 94 , Zee Trendz ]
[ 95 , MGM ]
[ 96 , Disney XD ]
[ 98 , NDTV Good Times ]
[ 99 , WB ]
[ 100 , Neo Prime ]
[ 101 , Star Sports 4 ]
[ 102 , Star Sports 1 ]
[ 103 , Star Sports 3 ]
[ 104 , 9XM ]
[ 105 , Ten Sports ]
[ 106 , CNBC TV18 ]
[ 108 , IBN Lokmat ]
[ 109 , Zing ]
[ 110 , CNBC AWAAZ ]
[ 111 , IBN 7 ]
[ 112 , Chutti TV ]
[ 113 , Etc ]
[ 114 , Mi Marathi ]
[ 115 , Etv Bangla ]
[ 116 , Etv Bihar ]
[ 117 , Etv Marathi ]
[ 118 , Etv MP ]
[ 119 , Star Jalsha ]
[ 120 , Etv ]
[ 121 , Etv 2 ]
[ 122 , Etv Gujarati ]
[ 124 , Etv Kannada ]
[ 125 , Etv Urdu ]
[ 126 , Etv UP ]
[ 127 , Times Now ]
[ 128 , HomeShop 18 ]
[ 130 , Hungama TV ]
[ 131 , Star Pravah ]
[ 132 , Zee Talkies ]
[ 133 , Zee Marathi ]
[ 134 , Udaya ]
[ 136 , Surya Tv ]
[ 137 , Gemini Tv ]
[ 139 , Gemini Music ]
[ 140 , Udaya Movies ]
[ 142 , Udaya Comedy ]
[ 144 , Raj Tv ]
[ 145 , Kiran Tv ]
[ 147 , Jaya Tv ]
[ 148 , Jaya Plus ]
[ 149 , Jaya Max ]
[ 150 , Chintu Tv ]
[ 151 , Kushi Tv ]
[ 152 , Sun Tv ]
[ 153 , Asianet ]
[ 154 , Ten Action ]
[ 155 , Zee Smile ]
[ 156 , Angel Tv ]
[ 157 , Asianet Plus ]
[ 158 , NDTV 24X7 ]
[ 159 , NDTV Profit ]
[ 160 , NDTV India ]
[ 161 , Raj Digital Plus ]
[ 162 , KTV ]
[ 163 , Raj Musix ]
[ 164 , Star Vijay ]
[ 165 , Asianet Suvarna ]
[ 166 , Asianet News ]
[ 168 , Fox Crime ]
[ 169 , FX ]
[ 171 , Discovery Turbo ]
[ 172 , Discovery Science ]
[ 173 , Nat Geo People ]
[ 174 , DD National ]
[ 175 , DD News ]
[ 176 , DD Sports ]
[ 177 , DD Bharati ]
[ 178 , DD India ]
[ 179 , DD Urdu ]
[ 180 , Nat Geo Wild ]
[ 181 , National Geographic Channel HD ]
[ 182 , Discovery HD ]
[ 184 , E 24 ]
[ 185 , Gemini Movies ]
[ 186 , Ten Cricket ]
[ 187 , Australia Network ]
[ 189 , Kalaignar Tv ]
[ 191 , Kalaignar Sirippoli ]
[ 193 , Kalaignar Isai Aruvi ]
[ 197 , Kairali Tv ]
[ 199 , India Talkies ]
[ 203 , Music India ]
[ 205 , Amrita Tv ]
[ 207 , Movies Now ]
[ 209 , Zee Khana Khazana ]
[ 211 , Travel XP ]
[ 213 , Big CBS Prime ]
